1;ACCEDER
2;ACOPLAR
3;ACORDAR
4;ACTIVAR
5;ACTUALIZAR
6;ADECUAR
7;ADQUIRIR
8;AFECTA COMPETITIVIDAD
9;AGILIDAD
10;AGILITAR
11;AGILITAR RECUPERACION
12;AJUSTAR
13;ALINEAR
14;ALTA
15;ALTOS COSTOS
16;AMPLIAR
17;AMPLIAR LIMITES
18;AMPLIAR QUITO Y GUAYAQUIL
19;ANALIZAR
20;ANULAR
21;APERTURAR
22;APLICAR
23;APORTAR
24;APOYAR
25;APROBAR
26;APROVECHAR
27;ARMONIZAR
28;ARTICULAR
29;ASEGURAR
30;ASEMEJAR
31;ASESORAR
32;ATRAER
33;AUDITAR
34;AUDITOR÷A
35;AUMENTAR
36;AUTOMATIZAR
37;BAJAR
38;BRINDAR
39;BUSCAR
40;CALCULAR
41;CAMBIAR
42;CAMBIAR PROCESO DEVOLUCION
43;CANCELAR
44;CAPACITAR
45;CAPITALIZAR
46;COBRAR
47;COLOCAR
48;COMPENSAR
49;CONCESIONAR
50;CONCRETAR
51;CONFLICTO
52;CONSIDERAR
53;CONTEMPLAR
54;CONTROLAR
55;CONVOCAR 
56;COORDINAR
57;COORDINAR APLICACI‡N
58;CREAR
59;CREAR 
60;CRUZAR
61;CUBRIR
62;CUMPLIR
63;DEBIL ARTICULACION
64;DECLARAR
65;DEDUCIR
66;DEFINIR
67;DEMORA
68;DEROGAR
69;DESARROLLAR
70;DESCONOCER
71;DESEMPE•AR
72;DEVOLVER
73;DIFERENCIAR
74;DIFERIR
75;DIFICIL ACCESO
76;DINAMIZAR
77;DISE•AR
78;DISMINUIR
79;DISMINUYE ACTIVIDAD
80;DISPONER
81;DISTINGUIR
82;DISTRIBUIR
83;DISTRIBUIR RECURSOS
84;DIVERSIFICAR
85;DOTAR
86;EJECUTAR
87;ELABORAR
88;ELIMIMAR
89;ELIMINAR (LICENCIA AMBIENTAL)
90;ELIMINAR CONCEPTO IMPUESTO MINIMO
91;ELIMINAR GRADUALMENTE
92;ELIMINAR LIMITES
93;EMITIR
94;ENDURECER
95;ENTREGAR
96;EQUIPARAR
97;ESPECIALIZAR
98;ESTABILIDAD
99;ESTABILIZAR
100;ESTABLECER
101;ESTANDARIZAR
102;EVALUAR
103;EVITAR
104;EVITAR AGLOMERACION
105;EXCESO
106;EXIGIR
107;EXONERAR
108;FACILITAR  
109;FALTA
110;FALTA ACCESO
111;FALTA APERTURA PÈBLICA
112;FALTA ARTICULACION
113;FALTA COMPETENCIA
114;FALTA GENERACI‡N
115;FALTA INSTRUMENTOS
116;FALTA REGULACI‡N
117;FALTA REPRESENTATIVIDAD REGIONAL
118;FATURAR
119;FINALIZAR
120;FINANCIAR
121;FIRMAR
122;FIRMAR CONVENIOS
123;FLEXIBILIZAR
124;FOMENTAR
125;FORMALIZAR
126;FORMAR
127;FORTALECER
128;GARANTIZAR
129;GENERAR
130;GENERAR 
131;GENERAR FONDO
132;GENERAR INCENTIVOS
133;HACER
134;HOMOLOGAR
135;HOMOLOGAR 
136;IDENTIFICAR
137;ILIQUIDEZ
138;IMPLEMENTAR
139;IMPORTAR
140;IMPULSAR
141;IMPUTAR
142;INCENTIVAR
143;INCLUIR
144;INCORPORAR
145;INCREMENTAR
146;INCREMENTAR TASA IMPOSITIVA
147;INCREMENTO COSTOS
148;INESTABILIDAD JURIDICA
149;INEXISTENTE
150;INFORMAR
151;INSTAURAR
152;INSTITUCIONALIZAR
153;INSUFICIENTE
154;INTERVENIR
155;INVERTIR
156;INYECTAR
157;LEGALIZAR
158;LEGISLAR
159;LEVANTAR
160;LIBERALIZAR
161;LIBERAR
162;LIMITADO ACCESO
163;LIMITADOS
164;LIMITAR
165;MANTENER
166;MEJORAR
167;MODERNIZAR
168;MODIFICAR
169;MODIFICAR NOMBRE Y OBJETO
170;MOTIVAR
171;NEGOCIAR
172;NO SE PUEDE ACCEDER
173;OBTENER
174;OPTIMIZAR
175;ORGANIZAR
176;OTORGAR
177;PAGAR
178;PAGO POR RENTA GANADA
179;PARTICIPACION PRIVADA DECISIONES
180;PARTICIPAR
181;PERMITIR
182;PERSONALIZAR
183;PLANTEAR
184;POCO ACCESO
185;PONER
186;POTENCIALIZAR
187;POTENCIAR
188;PRESERVAR
189;PRIVATIZAR
190;PRIVILEGIAR
191;PRODUCIR
192;PROMOCIONAR
193;PROMOVER
194;PROMOVER 
195;PROPONER
196;PROTEGER
197;PROVEER
198;RACIONALIZAR
199;REACTIVAR
200;REALIZAR
201;REBAJAR
202;RECLASIFICAR
203;RECONOCER
204;RECONSIDERAR
205;REDEFINIR
206;REDIRIGIR
207;REDISE•AR
208;REDISTRIBUIR
209;REDUCCI‡N
210;REDUCIR
211;REDUCIR 
212;REESTABLECER
213;REESTRUCTURAR
214;REFORMAR
215;REFORMAR 
216;REFORMULAR
217;REGRESAR
218;REGRESAR FORMULA ANTERIOR 
219;REGULAR
220;REGULAR RIESGO CREDITICIO
221;REINGENIER÷A
222;REINSTITUCIONALIZAR
223;RENEGOCIAR
224;RENOVAR
225;REPOTENCIAR
226;RESPETAR
227;RESTABLECER
228;RESTAURAR
229;RETENER
230;RETOMAR
231;REVISAR
232;REVOCAR
233;SIMPLIFICAR
234;SIMPLIFICAR  
235;SOBREREGULACI‡N
236;SOCIALIZAR
237;SOLICITAR
238;SUSCRIBIR
239;SUSTITUIR
240;TENER
241;TITULARIZAR
242;TOMAR
243;TRAMITE ENGORROSO
244;TRANSFERIR
245;TRANSPARENTAR
246;TRATAR
247;UNIFICAR
248;USAR
249;UTILIZAR
250;VALIDAR POLITICAS CON PRIVADO
251;VERIFICAR
252;VIGILAR
253;VINCULAR
254;ZONIFICAR